Source,Target,Value,,,,,,,,,,,,,,,,,,,
Network Diagrams,Density Maps,1,,,,,,,,,,,,,,,,,,,
Network Diagrams,Land Cover Maps,1,,,,,,,,,,,,,,,,,,,
Network Diagrams,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Network Diagrams,Network Diagrams,13,,,,,,,,,,,,,,,,,,,
Network Diagrams,Sociograms,0,,,,,,,,,,,,,,,,,,,
Network Diagrams,Integrated Platforms,2,,,,,,,,,,,,,,,,,,,
Network Diagrams,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Network Diagrams,Treemaps,0,,,,,,,,,,,,,,,,,,,
Network Diagrams,Tables,3,,,,,,,,,,,,,,,,,,,
Network Diagrams,Figures (explanatory diagrams),1,,,,,,,,,,,,,,,,,,,
Network Diagrams,Flowcharts,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Sociograms,Line Charts,0,,,,,,,,,,,,,,,,,,,
Sociograms,Bar Charts,1,,,,,,,,,,,,,,,,,,,
Sociograms,Pie Charts,0,,,,,,,,,,,,,,,,,,,
Sociograms,Scatter Plots,0,,,,,,,,,,,,,,,,,,,
Sociograms,Histograms,0,,,,,,,,,,,,,,,,,,,
Sociograms,Box Plots,0,,,,,,,,,,,,,,,,,,,
Sociograms,Bubble Plots,0,,,,,,,,,,,,,,,,,,,
Sociograms,Stacked Bar Charts,0,,,,,,,,,,,,,,,,,,,
Sociograms,Heatmaps,0,,,,,,,,,,,,,,,,,,,
Sociograms,Choropleth Maps,0,,,,,,,,,,,,,,,,,,,
Sociograms,Density Maps,0,,,,,,,,,,,,,,,,,,,
Sociograms,Land Cover Maps,0,,,,,,,,,,,,,,,,,,,
Sociograms,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Sociograms,Network Diagrams,0,,,,,,,,,,,,,,,,,,,
Sociograms,Sociograms,1,,,,,,,,,,,,,,,,,,,
Sociograms,Integrated Platforms,0,,,,,,,,,,,,,,,,,,,
Sociograms,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Sociograms,Treemaps,0,,,,,,,,,,,,,,,,,,,
Sociograms,Tables,1,,,,,,,,,,,,,,,,,,,
Sociograms,Figures (explanatory diagrams),0,,,,,,,,,,,,,,,,,,,
Sociograms,Flowcharts,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Line Charts,9,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Bar Charts,12,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Pie Charts,5,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Scatter Plots,5,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Histograms,2,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Box Plots,0,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Bubble Plots,1,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Stacked Bar Charts,1,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Heatmaps,1,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Choropleth Maps,13,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Density Maps,0,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Land Cover Maps,2,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Network Diagrams,2,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Sociograms,0,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Integrated Platforms,38,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Treemaps,1,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Tables,28,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Figures (explanatory diagrams),8,,,,,,,,,,,,,,,,,,,
Integrated Platforms,Flowcharts,17,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Line Charts,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Bar Charts,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Pie Charts,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Scatter Plots,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Histograms,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Box Plots,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Bubble Plots,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Stacked Bar Charts,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Heatmaps,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Choropleth Maps,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Density Maps,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Land Cover Maps,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Directed Acyclic Graphs (DAGs),0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Network Diagrams,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Sociograms,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Integrated Platforms,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Sunburst Charts,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Treemaps,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Tables,0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Figures (explanatory diagrams),0,,,,,,,,,,,,,,,,,,,
Sunburst Charts,Flowcharts,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
